alert_hour,alert_count,alert_amount
2026-08-12T10:00:00.000Z,3,21455.0
2026-08-12T11:00:00.000Z,23,10151.0
2026-08-12T12:00:00.000Z,10,253215.0
2026-08-12T14:00:00.000Z,2,52689.0
2026-08-12T15:00:00.000Z,1,18014.0
2026-08-12T16:00:00.000Z,8,103247.0
2026-08-12T17:00:00.000Z,8,75081.0
2026-08-12T18:00:00.000Z,16,647820.0
2026-08-12T19:00:00.000Z,2,209005.0
2026-08-12T20:00:00.000Z,7,366772.0
2026-08-12T21:00:00.000Z,9,62242.0
2026-08-12T22:00:00.000Z,7,688806.0
2026-08-12T23:00:00.000Z,14,27261.0
2026-08-13T00:00:00.000Z,13,133076.0
2026-08-13T01:00:00.000Z,38,385189.0
2026-08-13T02:00:00.000Z,23,191146.0
2026-08-13T03:00:00.000Z,1,4590.0
2026-08-13T05:00:00.000Z,8,140169.0
2026-08-13T06:00:00.000Z,14,270025.0
2026-08-13T08:00:00.000Z,21,34632.0
2026-08-13T09:00:00.000Z,2,132433.0
