customer_id,country,risk_level,n_events,n_fraud,total_risk_points,tx_amount_sum,tx_amount_avg,distinct_merchants,distinct_devices,first_event_ts,last_event_ts
C008,United Kingdom,CRITICAL,29,14,420,4623.0,1541.0,8,5,2026-08-12T10:37:23.000Z,2026-08-13T09:12:44.000Z
C057,United Kingdom,CRITICAL,24,14,420,2333.0,1166.5,10,3,2026-08-12T11:31:55.000Z,2026-08-13T09:30:16.000Z
C100,India,CRITICAL,33,14,420,61400.0,15350.0,15,4,2026-08-12T10:02:28.000Z,2026-08-13T08:55:01.000Z
C155,Australia,CRITICAL,36,14,420,28627.0,2862.7,10,3,2026-08-12T14:15:56.000Z,2026-08-13T09:26:40.000Z
C130,United Arab Emirates,CRITICAL,29,13,390,22796.0,3799.3333333333335,8,5,2026-08-12T11:35:07.000Z,2026-08-13T07:53:28.000Z
C154,Germany,CRITICAL,25,13,390,11287.0,5643.5,9,4,2026-08-12T10:47:27.000Z,2026-08-13T08:30:05.000Z
C015,United Kingdom,CRITICAL,25,12,360,5924.0,1481.0,11,4,2026-08-12T12:37:53.000Z,2026-08-13T09:36:40.000Z
C073,France,CRITICAL,27,12,360,7662.0,1532.4,7,3,2026-08-12T10:52:19.000Z,2026-08-13T08:31:34.000Z
C146,India,CRITICAL,30,12,360,60355.0,8622.142857142857,12,3,2026-08-12T10:03:32.000Z,2026-08-13T09:20:10.000Z
C095,India,CRITICAL,27,11,330,129806.0,25961.2,15,4,2026-08-12T10:51:32.000Z,2026-08-13T09:04:50.000Z
C003,India,CRITICAL,19,8,200,47275.0,3939.5833333333335,11,4,2026-08-12T13:05:58.000Z,2026-08-13T07:44:35.000Z
C007,India,CRITICAL,26,8,200,170466.0,15496.90909090909,11,2,2026-08-12T10:58:42.000Z,2026-08-13T08:14:32.000Z
C067,India,CRITICAL,26,8,200,484931.0,37302.38461538462,15,4,2026-08-12T11:08:35.000Z,2026-08-13T08:41:54.000Z
C190,United Arab Emirates,CRITICAL,22,8,200,17211.0,1229.357142857143,8,4,2026-08-12T10:19:51.000Z,2026-08-13T09:32:09.000Z
C035,United Kingdom,CRITICAL,21,7,175,53395.0,5339.5,7,3,2026-08-12T14:56:51.000Z,2026-08-13T04:51:58.000Z
C159,United States,CRITICAL,19,7,175,38756.0,2981.230769230769,11,4,2026-08-12T10:07:24.000Z,2026-08-13T08:31:17.000Z
C169,India,CRITICAL,27,7,175,202749.0,11926.411764705883,15,5,2026-08-12T11:48:04.000Z,2026-08-13T07:21:29.000Z
C093,United States,CRITICAL,19,6,150,56610.0,4043.5714285714284,10,5,2026-08-12T11:29:26.000Z,2026-08-13T08:49:15.000Z
C098,United Kingdom,CRITICAL,21,6,150,38672.0,2762.285714285714,8,3,2026-08-12T13:23:44.000Z,2026-08-13T09:31:16.000Z
C104,India,CRITICAL,27,6,150,369079.0,41008.77777777778,11,5,2026-08-12T10:06:24.000Z,2026-08-13T09:11:52.000Z
C023,Germany,MEDIUM,15,1,30,23167.0,3309.5714285714284,4,5,2026-08-12T10:30:09.000Z,2026-08-13T09:46:16.000Z
C038,Singapore,MEDIUM,18,1,30,24368.0,2707.5555555555557,7,4,2026-08-12T10:13:09.000Z,2026-08-13T08:33:37.000Z
C040,India,MEDIUM,15,1,30,263091.0,32886.375,8,5,2026-08-12T09:57:11.000Z,2026-08-13T06:11:08.000Z
C048,India,MEDIUM,13,1,30,193871.0,38774.2,6,4,2026-08-12T11:45:00.000Z,2026-08-13T06:11:43.000Z
C076,India,MEDIUM,20,1,30,260066.0,28896.222222222223,10,3,2026-08-12T10:24:52.000Z,2026-08-13T09:10:33.000Z
C094,United Kingdom,MEDIUM,13,1,30,19238.0,2748.285714285714,6,5,2026-08-12T10:26:39.000Z,2026-08-13T07:25:47.000Z
C115,India,MEDIUM,14,1,30,287990.0,35998.75,10,3,2026-08-12T12:05:27.000Z,2026-08-13T04:44:52.000Z
C117,United Kingdom,MEDIUM,14,1,30,28336.0,3542.0,6,3,2026-08-12T10:00:24.000Z,2026-08-13T09:42:40.000Z
C173,United Kingdom,MEDIUM,17,1,30,9225.0,1537.5,8,5,2026-08-12T11:48:43.000Z,2026-08-13T08:11:58.000Z
C187,India,MEDIUM,14,1,30,241741.0,34534.42857142857,8,4,2026-08-12T09:53:49.000Z,2026-08-13T06:29:59.000Z
C071,India,LOW,17,1,25,566229.0,70778.625,9,6,2026-08-12T10:11:41.000Z,2026-08-13T08:05:25.000Z
C092,India,LOW,11,1,25,139041.0,69520.5,5,4,2026-08-12T11:04:40.000Z,2026-08-13T08:40:10.000Z
C110,United Kingdom,LOW,11,1,25,27037.0,13518.5,4,4,2026-08-12T11:06:44.000Z,2026-08-13T07:06:23.000Z
C134,United States,LOW,15,1,25,52152.0,6519.0,9,3,2026-08-12T10:16:11.000Z,2026-08-13T07:22:24.000Z
C135,India,LOW,10,1,25,91414.0,18282.8,5,4,2026-08-12T10:55:09.000Z,2026-08-13T08:11:48.000Z
C139,India,LOW,17,1,25,46359.0,6622.714285714285,12,4,2026-08-12T14:19:45.000Z,2026-08-13T08:25:55.000Z
C150,India,LOW,17,1,25,927578.0,154596.33333333334,7,4,2026-08-12T14:06:41.000Z,2026-08-13T09:02:35.000Z
C153,India,LOW,15,1,25,383424.0,47928.0,8,3,2026-08-12T11:10:52.000Z,2026-08-13T06:00:55.000Z
C158,United States,LOW,24,1,25,9369.0,720.6923076923077,10,4,2026-08-12T10:03:16.000Z,2026-08-13T09:39:16.000Z
C181,India,LOW,14,1,25,178476.0,35695.2,7,4,2026-08-12T10:54:29.000Z,2026-08-13T09:39:51.000Z
C028,Singapore,LOW,14,1,20,6696.0,1339.2,5,5,2026-08-12T14:16:03.000Z,2026-08-13T09:47:09.000Z
C054,India,LOW,13,1,20,38879.0,7775.8,5,4,2026-08-12T09:57:44.000Z,2026-08-13T06:59:54.000Z
C088,United Kingdom,LOW,17,1,20,9812.0,2453.0,4,6,2026-08-12T10:19:39.000Z,2026-08-13T06:36:07.000Z
C090,India,LOW,12,1,20,78280.0,13046.666666666666,5,7,2026-08-12T10:09:51.000Z,2026-08-13T09:29:01.000Z
C103,India,LOW,19,1,20,57253.0,14313.25,5,5,2026-08-12T10:20:54.000Z,2026-08-13T08:41:36.000Z
C111,India,LOW,12,1,20,59844.0,19948.0,4,5,2026-08-12T15:36:17.000Z,2026-08-13T08:52:01.000Z
C116,India,LOW,16,1,20,217058.0,54264.5,5,5,2026-08-12T16:25:44.000Z,2026-08-13T08:39:10.000Z
C152,United States,LOW,17,1,20,24117.0,4823.4,10,4,2026-08-12T10:21:56.000Z,2026-08-13T07:09:18.000Z
C161,Singapore,LOW,14,1,20,6181.0,1236.2,2,6,2026-08-12T11:56:08.000Z,2026-08-13T06:49:39.000Z
C170,India,LOW,21,1,20,303822.0,37977.75,8,5,2026-08-12T10:24:19.000Z,2026-08-13T09:05:51.000Z
