customer_id,age,country,currency,avg_transaction,home_city,home_lat,home_lon
C001,26,United Kingdom,GBP,2250,London,51.5072,-0.1276
C002,55,United States,USD,3000,Chicago,41.8781,-87.6298
C003,56,India,INR,3250,Mumbai,19.076,72.8777
C004,44,India,INR,21600,Bangalore,12.9716,77.5946
C005,66,India,INR,8700,Hyderabad,17.385,78.4867
C006,66,Singapore,SGD,1750,Singapore,1.3521,103.8198
C007,40,India,INR,11700,Mumbai,19.076,72.8777
C008,42,United Kingdom,GBP,2200,London,51.5072,-0.1276
C009,73,India,INR,24950,Delhi,28.6139,77.209
C010,36,India,INR,57100,Bangalore,12.9716,77.5946
C011,47,Germany,EUR,2200,Berlin,52.52,13.405
C012,60,United Kingdom,GBP,550,Manchester,53.4808,-2.2426
C013,28,India,INR,19600,Kolkata,22.5726,88.3639
C014,58,India,INR,5300,Bangalore,12.9716,77.5946
C015,67,United Kingdom,GBP,2100,London,51.5072,-0.1276
C016,22,India,INR,24250,Mumbai,19.076,72.8777
C017,59,India,INR,26350,Hyderabad,17.385,78.4867
C018,33,India,INR,14050,Kolkata,22.5726,88.3639
C019,75,United States,USD,1100,Chicago,41.8781,-87.6298
C020,50,United Kingdom,GBP,700,Manchester,53.4808,-2.2426
C021,28,India,INR,25900,Mumbai,19.076,72.8777
C022,56,United States,USD,2450,San Francisco,37.7749,-122.4194
C023,18,Germany,EUR,2450,Berlin,52.52,13.405
C024,35,United Kingdom,GBP,2050,London,51.5072,-0.1276
C025,47,United States,USD,550,San Francisco,37.7749,-122.4194
C026,50,India,INR,26350,Kolkata,22.5726,88.3639
C027,37,United States,USD,3650,Chicago,41.8781,-87.6298
C028,52,Singapore,SGD,850,Singapore,1.3521,103.8198
C029,25,France,EUR,1550,Paris,48.8566,2.3522
C030,54,Australia,AUD,1050,Sydney,-33.8688,151.2093
C031,66,Australia,AUD,2950,Sydney,-33.8688,151.2093
C032,53,India,INR,4300,Bangalore,12.9716,77.5946
C033,31,India,INR,26250,Hyderabad,17.385,78.4867
C034,60,Australia,AUD,2900,Sydney,-33.8688,151.2093
C035,33,United Kingdom,GBP,2700,Manchester,53.4808,-2.2426
C036,55,India,INR,1100,Delhi,28.6139,77.209
C037,20,India,INR,47100,Mumbai,19.076,72.8777
C038,49,Singapore,SGD,2600,Singapore,1.3521,103.8198
C039,54,India,INR,21850,Bangalore,12.9716,77.5946
C040,24,India,INR,24300,Chennai,13.0827,80.2707
C041,64,United Kingdom,GBP,1300,Manchester,53.4808,-2.2426
C042,39,India,INR,94750,Kolkata,22.5726,88.3639
C043,46,Singapore,SGD,1300,Singapore,1.3521,103.8198
C044,22,India,INR,8700,Bangalore,12.9716,77.5946
